season,num_players,exact_matches,off_by_one,off_by_two,off_by_more,accuracy,flexible_accuracy,mse
1982,2.0,0.0,1.0,1.0,0.0,0.0,0.8,2.5
1983,2.0,1.0,0.0,1.0,0.0,0.5,0.6,2.0
1984,1.0,0.0,0.0,1.0,0.0,0.0,0.2,4.0
1985,1.0,0.0,0.0,1.0,0.0,0.0,0.2,4.0
1987,1.0,0.0,1.0,0.0,0.0,0.0,0.8,1.0
1988,1.0,0.0,0.0,1.0,0.0,0.0,0.8,4.0
1990,1.0,0.0,0.0,1.0,0.0,0.0,0.2,4.0
1992,3.0,2.0,0.0,1.0,0.0,0.6666666666666666,0.9333333333333332,1.3333333333333333
1995,2.0,0.0,2.0,0.0,0.0,0.0,0.8,1.0
1996,1.0,0.0,0.0,1.0,0.0,0.0,0.2,4.0
1997,1.0,0.0,1.0,0.0,0.0,0.0,0.8,1.0
1998,2.0,0.0,1.0,0.0,1.0,0.0,0.4,5.0
2000,2.0,0.0,0.0,2.0,0.0,0.0,0.5,4.0
2001,2.0,0.0,0.0,1.0,1.0,0.0,0.1,6.5
2002,2.0,0.0,1.0,0.0,1.0,0.0,0.4,5.0
2003,2.0,0.0,1.0,1.0,0.0,0.0,0.5,2.5
2004,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2005,2.0,0.0,0.0,0.0,2.0,0.0,0.0,12.5
2006,3.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.39999999999999997,6.666666666666667
2007,3.0,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,4.666666666666667
2008,2.0,1.0,1.0,0.0,0.0,0.5,0.9,0.5
2009,2.0,0.0,1.0,1.0,0.0,0.0,0.8,2.5
2010,3.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,1.6666666666666667
2011,1.0,0.0,0.0,1.0,0.0,0.0,0.2,4.0
2012,2.0,1.0,0.0,0.0,1.0,0.5,0.5,4.5
2013,1.0,0.0,0.0,1.0,0.0,0.0,0.8,4.0
2016,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2017,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2018,2.0,1.0,1.0,0.0,0.0,0.5,0.9,0.5
2019,2.0,0.0,2.0,0.0,0.0,0.0,0.8,1.0
2020,2.0,0.0,2.0,0.0,0.0,0.0,0.8,1.0
2021,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
2022,1.0,0.0,1.0,0.0,0.0,0.0,0.8,1.0
